item,why_absent,upgrade_source,priority,notes
Original external lineage for unchanged Fiji_v2.5 parameters,The runtime case retained parameter JSONs but not a complete six-ledger source package for the inherited CLEWs Global values.,"Recover the exact CLEWs Global country-build release, raw input tables and transformation scripts; replace SRC_FIJI_V25_CASE mappings parameter by parameter.",high,All inherited values are still traceable to the immediate v2.5 source case.
Cryptographic source digests,Omitted at the user's direction; public URLs and exact locators are the operative traceability mechanism for this migration.,Retain immutable evidence files and calculate verified SHA-256 values if an integrity freeze is later required.,low,All SOURCES.sha256 cells are intentionally blank.
Legacy local evidence extracts referenced by phase ledgers,The phase JSONs name evidence files that are not present in the current repository working tree.,Re-export the cited UNSD/EFL/FAOSTAT extracts from their public products and retain them under the canonical evidence directory.,medium,"Provider URLs, query codes and values were migrated so the extracts can be reconstructed."
Measured Fiji thermal plant heat rates and fuel split,EFL reports combined IDO/HFO consumption; the model uses an aggregate fleet coefficient and NCV midpoint.,Plant-level fuel-consumption and net-generation records split by fuel.,medium,Disclosed in Phase 1F.
Post-2022 crop-yield forecast,No defensible Fiji crop-specific forecast was retained.,Ministry crop outlook or climate-adjusted agronomic yield pathways.,medium,2022 multipliers are held constant.
Spatial crop allocation and irrigation intensity,Phase 1G calibrated national crop groups but not observed allocation across land classes or water-management intensity.,"Geocoded Fiji Agriculture Census parcels, irrigated-area maps and crop water requirements.",high,"Cropland and equipped-irrigation are continuing ceilings, not forced shares."
Externally calibrated hydrology coefficients,Fiji v2.6 closes inherited Fiji v2.5 water coefficients exactly but does not claim a new observed hydrological calibration.,"National water balance, AQUASTAT, calibrated runoff/recharge/ET estimates and withdrawal/consumption data.",high,"ENV_WATER is an exact model account, not an observed water balance."
Dynamic land-use transitions,The model contains no land-conversion technologies or sourced transition pathways.,Annual national land-cover change series and policy-constrained land-transition technologies.,medium,Fixed natural/built/water/bare stocks are initial stocks carried through the horizon.
Observed service demands and device/fleet efficiencies,Phase 1J derives exploratory services from public carrier totals and transparent engineering assumptions.,"Household survey, vehicle-km/passenger-km, aviation/navigation activity and technology-stock/efficiency data.",high,Not fit for official demand forecasts.
Observed future fuel prices and adoption pathways,"Future prices and adoption caps are scenario assumptions, not observations.",Government-approved energy-price scenarios and technology roadmaps with costs and stock turnover.,medium,Central/low/high values are explicit in ASSUMPTIONS.csv.
2024 UNSD estimated observations as fixed history,OBS_STATUS=E values were retained as evidence but deliberately not promoted as observed fixed history.,Final UNSD release or Fiji national energy balance for 2024.,medium,History ends in 2023.
Policy-grade calibration,The case is solved and source-indexed but retains significant inherited/proxy parameters and fixed-history constructs.,"Complete calibration assessment, uncertainty analysis and independent national review.",high,Use is limited to exploratory national scenarios.
Annual and subnational precipitation variability,"The implemented SSP2-4.5 pathway is a smooth national annual multiplier derived from 20-year climatologies; it does not represent year-to-year variability, drought sequences, cyclones or spatial gradients.",Bias-corrected Fiji gridded daily/monthly CMIP6 ensemble with a documented downscaling and weather-sequence method.,high,Do not interpret the interpolated annual values as forecasts of individual years.
Climate-sensitive rainfall-runoff response,"Evapotranspiration, recharge and runoff are scaled proportionally with precipitation to preserve the inherited partition; no Fiji-specific nonlinear hydrology model was calibrated.",Calibrated Fiji basin water balances and climate-sensitive ET/recharge/runoff response functions.,high,ENV_WATER remains an exact account of the implemented coefficients rather than a hydrological forecast.
Precipitation projection sensitivity cases,CCKP p10 and p90 anomaly values are preserved in the source JSON but only the ensemble median is implemented in SC_0.,Create separately named low/central/high precipitation scenarios using the retained p10/median/p90 values and validate each solve.,medium,The central result should not be treated as the full uncertainty range.
Fisheries vessel fuel and facility energy survey,FAO engineering intensities and an analytical aquaculture electricity intensity substitute for a Fiji bottom-up fuel and electricity inventory.,Obtain Fiji fleet logs by segment and metered hatchery farm ice cold-store and processing energy data.,high,"Capture, aquaculture and post-harvest service levels carry material uncertainty."
Fisheries asset stock and investment costs,"Residual stock ages, technology capital costs and fixed O&M are transparent engineering assumptions rather than a Fiji asset census and market survey.",Inventory vessel engines aquaculture equipment ice plants cold stores processors and solar freezers with commissioning years and delivered costs.,high,Investment results are suitable for screening rather than procurement.
Biological catch and fleet constraints,"An aggregate observed-boundary ceiling is encoded, but it is not stock-assessment-based and no effort cap, fleet-entry rule or spatial fisheries constraint is represented.",Use current WCPFC and Fiji stock assessments plus licensed fleet and management-plan limits.,high,The aggregate ceiling is a screening proxy rather than a biological production forecast.
Aquaculture feed and biological conversion,"Feed production, feed conversion ratios, species-specific survival and material balances are outside the implemented service boundary.",Collect Fiji species-level feed use FCR mortality stocking and harvest records.,high,Aquaculture is represented as a useful-energy service only.
Aquaculture land water and wastewater,"The aggregate programme ceiling restricts expansion, but site land occupation, freshwater use, effluent and nutrient loading are not explicit.",Obtain facility-level pond or cage area water abstraction discharge nutrient and treatment data.,high,Do not use the case for aquaculture water-quality permitting.
Processing waste and refrigerants,"Fish by-products, organic wastewater load, refrigerant inventories and fugitive emissions are absent.",Audit Fiji processing yields by-products COD/BOD treatment systems refrigerants and leakage.,medium,Only process water and energy-related emissions are represented.
Coastal and subsistence post-harvest activity,Post-harvest demand is based on a declared share of offshore longline catch; coastal commercial and subsistence preservation are not quantified.,Survey landing-site ice drying smoking storage spoilage and household processing by fishery.,high,Current boundary is conservative and explicitly incomplete.
