map_id,sector,model_entity,parameter_or_file,modes,years,meaning,source_ids,assumption_ids,calculation_ids,representation_status,notes
M-RAW-01,Whole model,"Raw reference case","model/inputs; model/results; WebAPP/DataStorage/Fiji_CLEWs_Global","All","2021–2050","Immutable generated baseline and imported MUIO implementation","DS-CLEWS-GLOBAL;DS-OSEMOSYS-GLOBAL;DS-CLEWS-GAEZ;DS-CLEWSY;DS-MUIO-5.4;DS-RAW-SOLUTION","A-RAW-01","","Active raw; uncalibrated","Later calibration must be separately versioned and compared with this baseline."
M-TIME-01,Whole model,"YEAR; SEASON; TIMESLICE; DAILYTIMEBRACKET","YEAR.csv; SEASON.csv; TIMESLICE.csv; Conversionls.csv; Conversionld.csv; Conversionlh.csv; YearSplit.csv; DaySplit.csv","Wet/dry × day/night","2021–2050","Temporal horizon and four-slice representation","DS-CLEWS-GLOBAL","A-TIME-01;A-TIME-02;A-TIME-03","C-TIME-01",Active raw,"Insufficient for hourly reliability claims."
M-ENE-01,Energy,"FJIXX electricity system","TECHNOLOGY.csv; FUEL.csv; InputActivityRatio.csv; OutputActivityRatio.csv","Technology-specific","2021–2050","One national electricity node and its generation/fuel chains","DS-OSEMOSYS-GLOBAL","A-GEO-01;A-ENE-01;A-ENE-02","",Active raw with country-lineage gaps,"Separate island grids are not represented."
M-ENE-02,Energy,"PWRHYDFJIXX01; PWRBIOFJIXX01; PWROILFJIXX01; PWRWONFJIXX01","ResidualCapacity.csv; CapacityFactor.csv; AvailabilityFactor.csv; IAR/OAR; costs","Technology-specific","2021–2050","Existing hydro, biomass, oil, and wind capacity and dispatch options","DS-OSEMOSYS-GLOBAL","A-GEO-01;A-ENE-01","",Active raw; historically inaccurate","2020–2024 EFL and Fiji-statistics evidence is reserved for calibration and validation."
M-ENE-03,Energy,"ELCFJIXX02 final electricity demand","SpecifiedAnnualDemand.csv; SpecifiedDemandProfile.csv","Four time slices","2021–2050","Annual electricity demand and generic load shape","DS-OSEMOSYS-GLOBAL","A-GEO-01;A-ENE-01","",Active raw; calibration required","Demand boundary, losses, and island allocation must be reconciled before replacement."
M-ENE-04,Energy,"Raw historical generation comparison","diagnostics/raw_vs_history.csv; diagnostics/raw_electricity_trajectory_2021_2025.csv","Annual","2021–2025","Compares endogenous raw dispatch with observations without changing inputs","DS-RAW-SOLUTION;DS-FJI-REI-IP","A-RAW-01","C-DIAG-01",Active diagnostic only,"Passing or failing the comparison does not alter the raw case."
M-GEO-01,Land-agriculture-water,"Fiji national land cells and four clusters","geospatial/FJI_land_cells_with_attributes.csv; geospatial/summary_stats/","Four clusters","Static base","National land endowment and agro-climatic clustering","DS-GADM-4.1;DS-GAEZ-V4-LANDCOVER;DS-FJI-LAND-AREA","A-GEO-02;A-GEO-03","C-GEO-01",Active raw,"Cluster-count sensitivity is not yet tested."
M-LAW-01,Land-agriculture-water,"CRPSGC; CRPCON; CRPYAM; CRPCAS; CRPOTH and crop-land options","SpecifiedAnnualDemand.csv; IAR/OAR; CapacityFactor.csv; VariableCost.csv","High/low input and irrigated/rain-fed options","2021–2050","Sugar cane, coconut, root/yam proxy, cassava, and other-crop production","DS-FAOSTAT-2020-CROPS;DS-GAEZ-V4-YIELD;DS-GAEZ-V4-WATER;DS-SSP2-POP","A-LAW-01;A-LAW-02;A-CLI-01","C-LAW-01",Active raw; uncalibrated,"Crop areas and yields are endogenous test outputs, not observed inputs."
M-WTR-01,Land-agriculture-water,"DEMAGRGWTFJI; DEMAGRSURFJI; DEMPUBGWTFJI; DEMPUBSURFJI","InputActivityRatio.csv; OutputActivityRatio.csv; demand tables","Technology-specific","2021–2050","Groundwater and surface-water supply for agriculture and public use","DS-CLEWS-GAEZ;DS-GAEZ-V4-WATER","A-GEO-02;A-CLI-01","",Active raw; unvalidated,"Aggregate Fiji water accounts are calibration candidates; basin and pumping data remain gaps."
M-CLI-01,Land-agriculture-water,"WTRPRCFJI; WTREVTFJI; WTRSURFJI; WTRGRCFJI","IAR/OAR and cluster parameter tables","Cluster- and mode-specific","2021–2050","Precipitation, evapotranspiration, runoff, and groundwater relationships","DS-GAEZ-V4-WATER;DS-CLEWS-GAEZ","A-CLI-01;A-GEO-02","",Active scenario climate; not historical weather,"Observed annual/monthly rainfall must be supplied separately for a historical backcast."
M-MUIO-01,Implementation,"Fiji reserve-capacity proxy","muio/reserve_margin_proxy_config.json; active case UDC JSON","Annual constraint","2021–2050","Ports generated capacity-credit tags unsupported by the installed MUIO formulation","DS-CLEWS-GLOBAL;DS-MUIO-5.4","A-MUIO-02","C-MUIO-01;C-MUIO-02",Active implementation proxy,"Mandatory stale check after relevant edits; not a historical outcome lock."
M-MUIO-02,Implementation,"MUIO discount rate","DiscountRate scalar","All","2021–2050","Discount rate inserted for importer completeness","DS-CLEWS-GLOBAL;DS-MUIO-5.4","A-MUIO-01","C-MUIO-03",Active implementation assumption,"Not yet suitable for decision-grade economic comparisons."
