parameter_id,model_parameter,entity,years,role,method,calibration_data_permitted,bounds,selected_value,units,source_ids,assumption_ids,calculation_ids,freeze_rule
P-FLEET-HYD,ResidualCapacity,PWRHYDFJIXX01,2020-2024,J,Observed installed fleet,None,">=0",0.1334,GW,DS-FJI-REI-IP,A-CAL-FLEET,C-CAL-RC,Frozen before first solve
P-FLEET-OIL,ResidualCapacity,PWROILFJIXX01,2020-2024,J,Observed installed fleet,None,">=0",0.182,GW,DS-FJI-REI-IP,A-CAL-FLEET,C-CAL-RC,Frozen before first solve
P-FLEET-WIND,ResidualCapacity,PWRWONFJIXX01,2020-2024,J,Observed installed fleet,None,">=0",0.0098,GW,DS-FJI-REI-IP,A-CAL-FLEET,C-CAL-RC,Frozen before first solve
P-FLEET-BIO,ResidualCapacity,PWRBIOFJIXX01,2020-2024,J,Observed installed fleet,None,">=0",0.034,GW,DS-FJI-REI-IP,A-CAL-FLEET,C-CAL-RC,Frozen before first solve
P-DEMAND,SpecifiedAnnualDemand,ELCFJIXX02,2020-2024,J,Observed total grid generation used as supply requirement,None,">=0","3.5149392;3.3732648;3.8932596;4.0355352;4.3880616",PJ,DS-EFL-AR-2024,A-CAL-BOUNDARY,C-CAL-MWH-PJ,Frozen before first solve
P-BIO-AF,AvailabilityFactor,PWRBIOFJIXX01,2020-2050,H then E,Least-squares constant annual output through the origin with fixed 34 MW fleet,2020-2022 IPP generation,"0.05-0.50",0.225644641,ratio,DS-EFL-AR-2024;DS-FJI-REI-IP,A-CAL-BIO,C-CAL-BIO-AF,Frozen before viewing 2023-2024 outcomes
P-WIND-AF,AvailabilityFactor,PWRWONFJIXX01,2020-2024,H then E,Least-squares constant annual output through the origin with fixed 9.8 MW fleet,2020-2022 wind generation,"0-0.15",0.005909670,ratio,DS-EFL-AR-2024;DS-FJI-REI-IP,A-CAL-WIND,C-CAL-WIND-AF,Frozen before viewing 2023-2024 outcomes
P-HYD-CF,CapacityFactor,PWRHYDFJIXX01,2020-2050,E,Inherited upstream wet/dry profile without tuning,None,"0-1","S1 0.3619; S2 0.6367",ratio,DS-OSEMOSYS-GLOBAL,A-CAL-HYD,,Never tuned to EFL generation
P-HIST-INV,TotalAnnualMaxCapacityInvestment,PWR* generation technologies except structural conduit PWRTRNFJIXX,2020-2024,J,Block model generation investment during observed historical fleet period,None,0,0,GW,DS-FJI-REI-IP,A-CAL-FLEET,,Released from 2025; PWRTRNFJIXX keeps its inherited unconstrained conduit capacity
P-FUT-DEMAND,SpecifiedAnnualDemand,ELCFJIXX02,2025-2050,S,Preserve raw trajectory growth and rebase it to observed 2024 supply,None,">=0","raw year value x 1.225715531",PJ,DS-OSEMOSYS-GLOBAL;DS-EFL-AR-2024,A-CAL-FUTURE,C-CAL-FUTURE-DEMAND,Scenario assumption; sensitivity required
