domain,metric,observed,modeled,tolerance,forcing_class,phase,weight,year,period,region,unit,source,constraint_refs,notes
energy,Hydropower installed capacity,133.4,209,0.10,H,calibration,1,2021,annual,Fiji,MW,Fiji Renewable Energy Integration Investment Plan,ResidualCapacity:PWRHYDFJIXX01,"Inherited residual stock fixes the outcome; it was not added by the Fiji calibration work and does not match the assessed observation."
energy,Oil-fired installed capacity,182,74,0.10,H,calibration,1,2021,annual,Fiji,MW,Fiji Renewable Energy Integration Investment Plan,ResidualCapacity:PWROILFJIXX01,"Inherited residual stock fixes the outcome; it was not added by the Fiji calibration work and does not match the assessed observation."
energy,Wind installed capacity,9.8,10,0.10,H,calibration,1,2021,annual,Fiji,MW,Fiji Renewable Energy Integration Investment Plan,ResidualCapacity:PWRWONFJIXX01,"Inherited residual stock fixes the outcome; it was not added by the Fiji calibration work."
energy,Biomass installed capacity,34,69.7,0.10,H,calibration,1,2021,annual,Fiji,MW,Fiji Renewable Energy Integration Investment Plan,ResidualCapacity:PWRBIOFJIXX01,"Inherited residual stock fixes the outcome; it was not added by the Fiji calibration work and does not match the assessed observation."
energy,Hydropower generation,544,625.269558,0.10,E,calibration,1,2021,annual,Fiji,GWh,Fiji Renewable Energy Integration Investment Plan,"SpecifiedAnnualDemand; CapacityFactor; AvailabilityFactor; ResidualCapacity","Dispatch is free within inherited demand and physical/model constraints."
energy,Oil-fired generation,327,0,0.10,E,calibration,1,2021,annual,Fiji,GWh,Fiji Renewable Energy Integration Investment Plan,"SpecifiedAnnualDemand; CapacityFactor; AvailabilityFactor; ResidualCapacity","Dispatch is free within inherited demand and physical/model constraints."
energy,Wind generation,0.2,0,0.10,E,calibration,1,2021,annual,Fiji,GWh,Fiji Renewable Energy Integration Investment Plan,"SpecifiedAnnualDemand; CapacityFactor; AvailabilityFactor; ResidualCapacity","Dispatch is free within inherited demand and physical/model constraints."
energy,Biomass generation,61,305.286,0.10,E,calibration,1,2021,annual,Fiji,GWh,Fiji Renewable Energy Integration Investment Plan,"SpecifiedAnnualDemand; CapacityFactor; AvailabilityFactor; ResidualCapacity","Dispatch is free within inherited demand and physical/model constraints."
land,Sugar-cane harvested area,380,1569.0909,0.20,E,calibration,1,2020 observed / 2021 modeled,annual,Fiji,km2,FAOSTAT Crops and livestock products,"AccumulatedAnnualDemand:CRPSGC; CropYieldFactors=1; GAEZ yields","Area is endogenous but comparison years are misaligned by one year."
land,Coconut harvested area,54.2,44.243878,0.20,E,calibration,1,2020 observed / 2021 modeled,annual,Fiji,km2,FAOSTAT Crops and livestock products,"AccumulatedAnnualDemand:CRPCON; CropYieldFactors=1; GAEZ yields","Area is endogenous but comparison years are misaligned by one year."
land,Taro/yam/root-proxy harvested area,43.46,59.223846,0.20,E,calibration,1,2020 observed / 2021 modeled,annual,Fiji,km2,FAOSTAT Crops and livestock products,"AccumulatedAnnualDemand:CRPYAM; CropYieldFactors=1; GAEZ yields","Area is endogenous; proxy aggregation and comparison-year mismatch reduce comparability."
land,Cassava harvested area,35.95,73.357143,0.20,E,calibration,1,2020 observed / 2021 modeled,annual,Fiji,km2,FAOSTAT Crops and livestock products,"AccumulatedAnnualDemand:CRPCAS; CropYieldFactors=1; GAEZ yields","Area is endogenous but comparison years are misaligned by one year."
land,Other-crops harvested area,116.76,67.992391,0.20,E,calibration,1,2020 observed / 2021 modeled,annual,Fiji,km2,FAOSTAT Crops and livestock products,"AccumulatedAnnualDemand:CRPOTH; CropYieldFactors=1; GAEZ yields","Area is endogenous; aggregation and comparison-year mismatch reduce comparability."
