map_id,sector,model_entity,parameter_or_file,modes,years,meaning,source_ids,assumption_ids,calculation_ids,representation_status,notes
M-RAW-01,Whole model,"Raw reference case","Fiji_CLEWs_Global; diagnostics/raw_reference; WebAPP/DataStorage/Fiji_CLEWs_Global","All","2021–2050","Immutable generated baseline and imported MUIO implementation","DS-CLEWS-GLOBAL;DS-OSEMOSYS-GLOBAL;DS-CLEWS-GAEZ;DS-CLEWSY;DS-MUIO-5.4;DS-RAW-SOLUTION","A-RAW-01","","Historical raw reference; uncalibrated","Fiji v2 is separately versioned and compared with this baseline."
M-TIME-01,Whole model,"YEAR; SEASON; TIMESLICE; DAILYTIMEBRACKET","YEAR.csv; SEASON.csv; TIMESLICE.csv; Conversionls.csv; Conversionld.csv; Conversionlh.csv; YearSplit.csv; DaySplit.csv","Wet/dry × day/night","2021–2050","Temporal horizon and four-slice representation","DS-CLEWS-GLOBAL","A-TIME-01;A-TIME-02;A-TIME-03","C-TIME-01",Active raw,"Insufficient for hourly reliability claims."
M-ENE-01,Energy,"FJIXX electricity system","TECHNOLOGY.csv; FUEL.csv; InputActivityRatio.csv; OutputActivityRatio.csv","Technology-specific","2021–2050","One national electricity node and its generation/fuel chains","DS-OSEMOSYS-GLOBAL","A-GEO-01;A-ENE-01;A-ENE-02","",Active raw with country-lineage gaps,"Separate island grids are not represented."
M-ENE-02,Energy,"PWRHYDFJIXX01; PWRBIOFJIXX01; PWROILFJIXX01; PWRWONFJIXX01","ResidualCapacity.csv; CapacityFactor.csv; AvailabilityFactor.csv; IAR/OAR; costs","Technology-specific","2021–2050","Existing hydro, biomass, oil, and wind capacity and dispatch options","DS-OSEMOSYS-GLOBAL","A-GEO-01;A-ENE-01","",Active raw; historically inaccurate","2020–2024 EFL and Fiji-statistics evidence is reserved for calibration and validation."
M-ENE-03,Energy,"ELCFJIXX02 final electricity demand","SpecifiedAnnualDemand.csv; SpecifiedDemandProfile.csv","Four time slices","2021–2050","Annual electricity demand and generic load shape","DS-OSEMOSYS-GLOBAL","A-GEO-01;A-ENE-01","",Active raw; calibration required","Demand boundary, losses, and island allocation must be reconciled before replacement."
M-ENE-04,Energy,"Raw historical generation comparison","diagnostics/raw_vs_history.csv; diagnostics/raw_electricity_trajectory_2021_2025.csv","Annual","2021–2025","Compares endogenous raw dispatch with observations without changing inputs","DS-RAW-SOLUTION;DS-FJI-REI-IP","A-RAW-01","C-DIAG-01",Active diagnostic only,"Passing or failing the comparison does not alter the raw case."
M-ENE-05,Energy,"Excluded OHC; DEMINDOHC; INDOHC branch","scripts/build_fiji_v2.py; data_sources/evidence/energy/OHC_BRANCH_REVIEW_2026-07-26.md","All","2020–2050","Country-structural exclusion of a dormant, unsupported generic other-hydrocarbons end-use branch","DS-UNSD-ENERGY-FJI;DS-FJI-NIR-2023","A-ENE-03","",Active Fiji v2 structural adaptation,"No historical dispatch outcome was used; reintroduction requires evidence for a physical combustible fuel, service demand, and supply chain."
M-GEO-01,Land-agriculture-water,"Fiji national land cells and four clusters","geospatial/FJI_land_cells_with_attributes.csv; geospatial/summary_stats/","Four clusters","Static base","National land endowment and agro-climatic clustering","DS-GADM-4.1;DS-GAEZ-V4-LANDCOVER;DS-FJI-LAND-AREA","A-GEO-02;A-GEO-03","C-GEO-01",Active raw,"Cluster-count sensitivity is not yet tested."
M-LAW-01,Land-agriculture-water,"CRPSGC; CRPCON; CRPYAM; CRPCAS; CRPOTH and crop-land options","SpecifiedAnnualDemand.csv; IAR/OAR; CapacityFactor.csv; VariableCost.csv","High/low input and irrigated/rain-fed options","2021–2050","Sugar cane, coconut, root/yam proxy, cassava, and other-crop production","DS-FAOSTAT-2020-CROPS;DS-GAEZ-V4-YIELD;DS-GAEZ-V4-WATER;DS-SSP2-POP","A-LAW-01;A-LAW-02;A-CLI-01","C-LAW-01",Active raw; uncalibrated,"Crop areas and yields are endogenous test outputs, not observed inputs."
M-WTR-01,Land-agriculture-water,"DEMAGRGWTFJI; DEMAGRSURFJI; DEMPUBGWTFJI; DEMPUBSURFJI","InputActivityRatio.csv; OutputActivityRatio.csv; demand tables","Technology-specific","2021–2050","Groundwater and surface-water supply for agriculture and public use","DS-CLEWS-GAEZ;DS-GAEZ-V4-WATER","A-GEO-02;A-CLI-01","",Active raw; unvalidated,"Aggregate Fiji water accounts are calibration candidates; basin and pumping data remain gaps."
M-CLI-01,Land-agriculture-water,"WTRPRCFJI; WTREVTFJI; WTRSURFJI; WTRGRCFJI","IAR/OAR and cluster parameter tables","Cluster- and mode-specific","2021–2050","Precipitation, evapotranspiration, runoff, and groundwater relationships","DS-GAEZ-V4-WATER;DS-CLEWS-GAEZ","A-CLI-01;A-GEO-02","",Active scenario climate; not historical weather,"Observed annual/monthly rainfall must be supplied separately for a historical backcast."
M-MUIO-01,Implementation,"Fiji reserve-capacity proxy","muio/reserve_margin_proxy_config.json; active case UDC JSON","Annual constraint","2021–2050","Ports generated capacity-credit tags unsupported by the installed MUIO formulation","DS-CLEWS-GLOBAL;DS-MUIO-5.4","A-MUIO-02","C-MUIO-01;C-MUIO-02",Active implementation proxy,"Mandatory stale check after relevant edits; not a historical outcome lock."
M-MUIO-02,Implementation,"MUIO discount rate","DiscountRate scalar","All","2021–2050","Discount rate inserted for importer completeness","DS-CLEWS-GLOBAL;DS-MUIO-5.4","A-MUIO-01","C-MUIO-03",Active implementation assumption,"Not yet suitable for decision-grade economic comparisons."
M-V2-01,Energy calibration,"ELCFJIXX02 annual grid-supply boundary","SpecifiedAnnualDemand.csv; RYC.json","Annual","2020–2050","Observed gross grid supply in 2020–2024 and rebased scenario path thereafter","DS-EFL-AR-2024;DS-OSEMOSYS-GLOBAL","A-CAL-BOUNDARY;A-CAL-FUTURE","C-CAL-MWH-PJ;C-CAL-FUTURE-DEMAND","Active Fiji v2 J/S input","Historical totals are not scored as reproduced demand."
M-V2-02,Energy calibration,"PWRHYDFJIXX01; PWROILFJIXX01; PWRBIOFJIXX01; PWRWONFJIXX01","ResidualCapacity.csv; RYT.json","Annual","2020–2050","Corrected historical aggregate fleet and scaled raw retirement paths","DS-FJI-REI-IP;DS-OSEMOSYS-GLOBAL","A-CAL-FLEET;A-CAL-FUTURE","C-CAL-RC","Active Fiji v2 J/S input","Historical capacity receives justified-condition credit only."
M-V2-03,Energy calibration,"PWRBIOFJIXX01; PWRWONFJIXX01","AvailabilityFactor.csv; RYT.json","Annual","2020–2050","Fitted biomass/IPP availability and historical damaged-wind ceiling","DS-EFL-AR-2024;DS-FJI-REI-IP","A-CAL-BIO;A-CAL-WIND","C-CAL-BIO-AF;C-CAL-WIND-AF","Active Fiji v2 calibration","Calibration-period outcomes are H; frozen held-out outcomes are E."
M-V2-04,Energy calibration,"PWRHYDFJIXX01; PWROILFJIXX01 generation and renewable share","Historical_Backcast result CSVs","Annual","2020–2024","Endogenous supply-mix outcomes compared with EFL observations","DS-EFL-AR-2024","A-CAL-HYD;A-CAL-BOUNDARY","C-CAL-MWH-PJ","Active Fiji v2 E diagnostic","2023–2024 is held out; 2024 exposes the missing weather-responsive hydro structure."
M-V2-05,Implementation,"Fiji v2 reproducible experiment","scripts/build_fiji_v2.py; solve_muiogo_case.py; score_historical_fit.py; validate_fiji_v2.py","Base scenario","2020–2050","Rebuilds from immutable raw data, updates derived constraints, solves, scores, and validates","DS-MUIO-5.4;DS-EFL-AR-2024;DS-FJI-REI-IP","A-RAW-01;A-CAL-01;A-CAL-02","C-CAL-MWH-PJ;C-CAL-RC;C-CAL-BIO-AF;C-CAL-WIND-AF","Active Fiji v2 implementation","Build manifest records exact evidence and parameter values."
M-WTR-02,Public water,"WTRSURFJI; DEMPUBSURFJI; PUBWATFJI","InputActivityRatio.csv; OutputActivityRatio.csv; SpecifiedAnnualDemand.csv; SpecifiedDemandProfile.csv; RYTCM.json; RYC.json; RYCTs.json","Four time slices","2020–2024","Observed public delivery supplied through aggregate WAF surface abstraction and loss accounting","DS-FBS-WATER-2024","A-WTR-PUB-BOUNDARY;A-WTR-PROFILE;A-WTR-ELECTRICITY","C-WTR-ML-KM3;C-WTR-SURF-IAR;C-WTR-UNIT-BASIS","Active Phase 1B annual public-water accounting","No post-2024 demand, seasonal water shape or explicit pumping/treatment electricity."
M-WTR-03,Public water,"WTRGRCFJI; WTRABSFJI; WTRGWRFJI; DEMPUBGWTFJI","TECHNOLOGY.csv; FUEL.csv; IAR/OAR; TotalTechnologyAnnualActivityUpperLimit.csv; TotalAnnualMaxCapacityInvestment.csv; genData.json; RYT.json","Mode 1","2020–2050","Separates annual recharge from raw groundwater abstraction and public delivery","DS-CLEWS-GAEZ;DS-GAEZ-V4-WATER;DS-FBS-WATER-2024","A-WTR-GW-QUARANTINE;A-WTR-ELECTRICITY","C-WTR-UNIT-BASIS","Active structure; quarantined","Requires Fiji groundwater source share, abstraction limit and energy-intensity evidence before activation."
M-1C-01,End-use energy,"Twenty-six unresolved AGR/COM/IND/RES/TRA final-energy carriers","data_sources/evidence/energy/phase1c_end_use_carrier_register_2026-07-27.csv; documentation/history/structural/PHASE_1C_END_USE_SERVICE_GATE_2026-07-27.md","Design gate","2020–2050","Classifies inherited final-energy interfaces and the evidence needed before useful-service activation","DS-FBS-ENERGY-ACCOUNT-2024;DS-FJI-MICS-2021;DS-OSEMOSYS-GLOBAL","A-1C-SERVICE-BOUNDARY;A-1C-ELECTRICITY-BOUNDARY;A-1C-SHARES-NOT-QUANTITY","","Phase 1C.0 design only; no active input","Commercial, industrial and grid-served domestic electricity are ready for accounting-only implementation; residential cooking remains quantity-blocked."
M-1C-02,End-use electricity,"ELCFJIXX02; COMELCFJIXX02; INDELCFJIXX02; RESELCFJIXX02","SpecifiedAnnualDemand.csv; SpecifiedDemandProfile.csv; VariableCost.csv; RYC.json; RYCTs.json; RYTM.json; data_sources/evidence/energy/fiji_phase1c_bottom_up_electricity_projection_2020_2050.csv","Four time slices","2020–2050","Observed historical sector electricity and independently projected commercial, industrial and central-grid residential demand with explicit loss/boundary overhead","DS-FBS-ENERGY-ACCOUNT-2024;DS-FIJI-LEDS-2018;DS-FJI-MICS-2021;DS-EFL-AR-2024","A-1C-ELECTRICITY-BOUNDARY;A-1C-COM-PROJECTION;A-1C-IND-PROJECTION;A-1C-RES-PROJECTION;A-1C-OVERHEAD;A-1C-PROFILE","C-1C-HIST-ELECTRICITY;C-1C-COM;C-1C-IND;C-1C-RES;C-1C-OVERHEAD","Active Phase 1C input","Full source locators and checksums are in PHASE_1C_PROJECTION_SOURCE_EXTRACTS_2026-07-27.md; accounting checkpoint is objective- and dispatch-identical to Phase 1B; cooking and other useful services remain inactive."
