calculation_id,sector,question,formula,inputs,output,units,model_location,source_ids,assumption_ids,status,notes
C-TIME-01,Whole model,"How are the four raw time slices formed?","season mapping × daypart mapping","Wet November–April; dry May–October; D1 hours 1–12; D2 hours 13–24","S1D1; S1D2; S2D1; S2D2","Dimensionless mapping","config/config.yaml; model/inputs/Conversionls.csv; Conversionld.csv; Conversionlh.csv","DS-CLEWS-GLOBAL","A-TIME-02;A-TIME-03",Active raw,"The MUIO import required a one-off repair documented in the dated import record."
C-GEO-01,Land-agriculture-water,"How is the Fiji land domain reconciled to the documented national area?","normalized cell area = raw processed cell area × 18273 / sum(raw processed cell area)","Antimeridian-safe processed Fiji land cells; official_land_area_sqkm 18273","Fiji land-cell areas summing to 18273","km2","geospatial/FJI_land_cells_with_attributes.csv; overrides/","DS-GADM-4.1;DS-FJI-LAND-AREA;DS-CLEWS-GAEZ","A-GEO-03",Active raw,"The validator confirms exact closure at the packaged precision."
C-LAW-01,Land-agriculture-water,"How are Fiji crops mapped to GAEZ layers?","direct mapping where available; taro and related roots → yam; unmodeled top crops → OTH proxy aggregation","FAOSTAT crop list; available GAEZ crop layers","SGC; CON; YAM; CAS; OTH model crop groups","Model crop codes","data_sources/evidence/raw_baseline/CROP_PROXY_MAPPING_2026-07-24.csv; overrides/workflow/scripts/clewsy.py","DS-FAOSTAT-2020-CROPS;DS-GAEZ-V4-YIELD;DS-CLEWS-GLOBAL","A-LAW-01;A-LAW-02",Active raw,"The mapping is structural and is not evidence that proxy crops have Fiji observed yields."
C-DIAG-01,Energy,"How are model electricity activities compared with reported generation?","GWh = PJ / 0.0036","Annual model electricity production in PJ","Annual electricity generation","GWh","diagnostics/raw_electricity_trajectory_2021_2025.csv; diagnostics/raw_vs_history.csv","DS-RAW-SOLUTION;DS-FJI-REI-IP","",Active diagnostic,"Diagnostic conversion only; observations do not feed back into the raw model."
C-MUIO-01,Implementation,"How is the annual MUIO reserve-capacity proxy right-hand side calculated?","max over timeslices(SpecifiedAnnualDemand × SpecifiedDemandProfile / YearSplit) × reserve margin","ELCFJIXX02 demand and profile; YearSplit; reserve margin 1.0","Annual peak-demand proxy constant","GW-equivalent activity basis","muio/reserve_margin_proxy_config.json; WebAPP/DataStorage/Fiji_CLEWs_Global/reserve_margin_proxy.json","DS-CLEWS-GLOBAL;DS-MUIO-5.4","A-MUIO-02",Active MUIO implementation,"The proxy must be regenerated after relevant input or scenario edits."
C-MUIO-02,Implementation,"How is the reserve-proxy left-hand side formed?","sum over tagged technologies(TotalCapacityAnnual × CapacityToActivityUnit × capacity credit)","18 generated technology capacity credits and active MUIO capacities","Annual available capacity proxy","Model activity-rate basis","muio/reserve_margin_proxy_config.json; scripts/manage_reserve_margin_proxy.py","DS-CLEWS-GLOBAL;DS-MUIO-5.4","A-MUIO-02",Active MUIO implementation,"Ports unsupported native reserve tags; it is not historical calibration."
C-MUIO-03,Implementation,"What discount rate is inserted when preparing the MUIO workbook?","DiscountRate = 0.05","Empty generated Fiji DiscountRate input","MUIO scalar discount rate","Fraction","scripts/prepare_muiogo_workbook.py; muio/Fiji_CLEWs_Global_MUIO_import.xlsx","DS-CLEWS-GLOBAL;DS-MUIO-5.4","A-MUIO-01",Active MUIO implementation,"This is an explicit importer assumption and requires sensitivity analysis for economic use."
C-CAL-MWH-PJ,Energy calibration,"How is reported electricity converted to model units?","PJ = MWh × 0.0000036","EFL annual generation in MWh","Annual grid-supply requirement and comparison values","PJ","scripts/build_fiji_v2.py; model/inputs/SpecifiedAnnualDemand.csv","DS-EFL-AR-2024","A-CAL-BOUNDARY","Active Fiji v2","Total supply is a J input and receives no demand-reproduction credit."
C-CAL-RC,Energy calibration,"How are historical and future residual capacities formed?","2020–2024 = documented 2021 GW; 2025+ = raw residual capacity × documented 2021 capacity / raw 2021 capacity","Official aggregate capacity; immutable raw retirement paths","Corrected ResidualCapacity","GW","scripts/build_fiji_v2.py; model/inputs/ResidualCapacity.csv","DS-FJI-REI-IP;DS-OSEMOSYS-GLOBAL","A-CAL-FLEET;A-CAL-FUTURE","Active Fiji v2","The historical stock is J; future retirement ratios are S."
C-CAL-BIO-AF,Energy calibration,"What effective aggregate biomass/IPP availability was used before Phase 1D?","AF = mean(2020–2022 IPP MWh) × 0.0000036 / (0.034 GW × 31.536 PJ/GW-year)","2020–2022 IPP output; 34 MW fleet","0.225644641","Fraction","scripts/build_fiji_v2.py","DS-EFL-AR-2024;DS-FJI-REI-IP","A-CAL-BIO","Superseded by Phase 1D","Retained only to reproduce the Phase 1C baseline."
C-CAL-WIND-AF,Energy calibration,"What historical wind availability ceiling is used?","AF = mean(2020–2022 wind MWh) × 0.0000036 / (0.0098 GW × 31.536 PJ/GW-year)","2020–2022 wind output; 9.8 MW fleet","0.005909670","Fraction","scripts/build_fiji_v2.py; model/inputs/AvailabilityFactor.csv","DS-EFL-AR-2024;DS-FJI-REI-IP","A-CAL-WIND","Active Fiji v2","This is an annual ceiling, not an equality; optimizer economics still affect actual wind output."
C-CAL-FUTURE-DEMAND,Energy scenario,"How was post-2024 electricity demand rebased before Phase 1C?","v2 demand(y) = raw demand(y) × observed 2024 supply / raw 2024 demand","Raw 2025–2050 trajectory; 2024 EFL total generation","Raw trajectory × 1.225715531","PJ","scripts/build_fiji_v2.py; model/inputs/SpecifiedAnnualDemand.csv","DS-OSEMOSYS-GLOBAL;DS-EFL-AR-2024","A-CAL-FUTURE","Superseded electricity-demand path; retained as Phase 1C accounting control","The Phase 1C active case replaces this future aggregate with sector paths."
C-WTR-ML-KM3,Public water,"How is reported public delivery converted to model demand?","public demand [km3] = public delivery [ML] / 1,000,000","FBoS billed household + government + commercial + carted-water delivery","2020–2024 PUBWATFJI demand","km3","scripts/apply_fiji_phase1b_public_water.py; model/inputs/SpecifiedAnnualDemand.csv","DS-FBS-WATER-2024","A-WTR-PUB-BOUNDARY","Active Phase 1B","1 ML = 10^-6 km3."
C-WTR-SURF-IAR,Public water,"How are surface abstraction and aggregate losses represented?","InputActivityRatio = WAF surface abstraction / public delivery","FBoS annual WAF surface extraction and billed/carted delivery","2020–2024 DEMPUBSURFJI input ratio","km3 raw water per km3 delivered","scripts/apply_fiji_phase1b_public_water.py; model/inputs/InputActivityRatio.csv","DS-FBS-WATER-2024","A-WTR-PUB-BOUNDARY","Active Phase 1B","The ratio embeds reported purification and distribution losses; output remains one unit of PUBWATFJI per activity."
C-WTR-UNIT-BASIS,Water accounting,"Why is the model water-flow unit km3?","1,000 km2 × 1 m = 1 km3","Land activity in thousand km2; water-depth coefficients in metres","Consistent water-flow and service unit","km3","genData.json commodity metadata; scripts/apply_fiji_phase1b_public_water.py","DS-CLEWS-GAEZ;DS-GAEZ-V4-WATER","A-GEO-02;A-CLI-01","Active Phase 1B metadata correction","The correction changes labels and descriptions, not inherited land-water coefficient values."
C-1C-HIST-ELECTRICITY,End-use electricity,"How is historical gross grid demand decomposed?","gross = commercial + industrial + (domestic - household own generation) + distribution loss + station/boundary residual","FBoS 2020-2024 Energy SUT; EFL gross grid requirement","ELCFJIXX02; COMELCFJIXX02; INDELCFJIXX02; RESELCFJIXX02 annual demand","PJ","scripts/apply_fiji_phase1c_bottom_up_demand.py; data_sources/calculation_notes/PHASE_1C_BOTTOM_UP_ELECTRICITY.md; model/inputs/SpecifiedAnnualDemand.csv","DS-FBS-ENERGY-ACCOUNT-2024;DS-EFL-AR-2024","A-1C-ELECTRICITY-BOUNDARY","Active Phase 1C","The residual remains explicitly labelled rather than treated as measured station use."
C-1C-COM,Commercial electricity,"How is future commercial grid electricity projected?","commercial(y) = commercial(2024) × 1.026^(y-2024)","Observed 2024 commercial grid use; LEDS BAU-unconditional growth","2025-2050 COMELCFJIXX02 demand","PJ","scripts/apply_fiji_phase1c_bottom_up_demand.py; data_sources/calculation_notes/PHASE_1C_BOTTOM_UP_ELECTRICITY.md; model/inputs/SpecifiedAnnualDemand.csv","DS-FBS-ENERGY-ACCOUNT-2024;DS-FIJI-LEDS-2018","A-1C-COM-PROJECTION","Active Phase 1C","Rebased to current evidence rather than LEDS 2013 consumption."
C-1C-IND,Industrial electricity,"How is future industrial grid electricity projected?","industrial(y) = industrial(2024) × 1.020^(y-2024)","Observed 2024 industrial grid use; LEDS industrial growth","2025-2050 INDELCFJIXX02 demand","PJ","scripts/apply_fiji_phase1c_bottom_up_demand.py; data_sources/calculation_notes/PHASE_1C_BOTTOM_UP_ELECTRICITY.md; model/inputs/SpecifiedAnnualDemand.csv","DS-FBS-ENERGY-ACCOUNT-2024;DS-FIJI-LEDS-2018","A-1C-IND-PROJECTION","Active Phase 1C","Does not yet separate Vatukoula or other grid-connection decisions."
C-1C-RES,Residential electricity,"How is future central-grid residential electricity projected?","residential(y) = residential(2024) × composite household-appliance kWh(y) / composite household-appliance kWh(2024)","LEDS household growth, urbanization, appliance adoption/intensity and MEPS turnover; MICS urban/rural central-grid access","2025-2050 RESELCFJIXX02 demand","PJ","scripts/apply_fiji_phase1c_bottom_up_demand.py; data_sources/calculation_notes/PHASE_1C_BOTTOM_UP_ELECTRICITY.md; model/inputs/SpecifiedAnnualDemand.csv","DS-FBS-ENERGY-ACCOUNT-2024;DS-FIJI-LEDS-2018;DS-FJI-MICS-2021","A-1C-RES-PROJECTION;A-1C-SHARES-NOT-QUANTITY","Active Phase 1C","Cooking is excluded from the driver because its quantity gate remains closed."
C-1C-OVERHEAD,End-use electricity,"How is future direct grid overhead projected?","ELCFJIXX02(y) = [commercial(y) + industrial(y) + residential(y)] × 0.119232103417779","2024 distribution loss; 2024 station/boundary residual; 2024 sector end use","2025-2050 direct ELCFJIXX02 demand","PJ","scripts/apply_fiji_phase1c_bottom_up_demand.py; data_sources/calculation_notes/PHASE_1C_BOTTOM_UP_ELECTRICITY.md; model/inputs/SpecifiedAnnualDemand.csv","DS-FBS-ENERGY-ACCOUNT-2024;DS-EFL-AR-2024","A-1C-OVERHEAD","Active Phase 1C","The factor holds overhead intensity, not sector shares."
C-MUIO-04,Implementation,"How is the Phase 1C reserve-proxy demand rate calculated?","max over timeslices(sum over four demand commodities(SAD × SDP) / YearSplit) × reserve margin","ELCFJIXX02; COMELCFJIXX02; INDELCFJIXX02; RESELCFJIXX02 demand/profile; YearSplit; reserve margin","Annual aggregate peak-demand proxy constant","GW-equivalent activity basis","muio/reserve_margin_proxy_config.json; scripts/manage_reserve_margin_proxy.py","DS-MUIO-5.4","A-MUIO-02;A-1C-PROFILE","Active Phase 1C implementation","Prevents the reserve requirement from falling when demand moves out of direct ELCFJIXX02."
C-1D-CANE-HIST,Cane-bagasse-electricity,"How is reported FSC cane throughput converted to the model service?","processed cane [Mt] = FSC cane crushed [t] / 1,000,000","FSC annual cane crushed, 2020–2024","SGCPROCFJI accumulated annual demand","Mt","scripts/apply_fiji_phase1d_cane_bagasse.py; model/inputs/AccumulatedAnnualDemand.csv; RYC.json","DS-FSC-ANNUAL-REPORTS","A-1D-CANE-HISTORY","Active Phase 1D","CRPSGC direct demand is zero; the land system supplies raw cane to SGCMILLFJI."
