assumption_id,statement,central_value,unit,evidence_source_ids,lower_bound,upper_bound,rationale,notes
ASM_LAND_HORIZON_CONSTANT,"Forest, grass/pasture, built, inland-water and bare stocks remain at their sourced 2020 values because the case has no land-conversion technologies.",constant,2020 stock carried through 2050,SRC_FAOSTAT_LAND SRC_IO_LULC_2020,,,Continuing physical-stock representation without an unsupported conversion trajectory.,
ASM_LAND_RESIDUAL_OTHER,"LNDOTHTOT is endogenous other, fallow and unallocated land and closes the national land balance.",endogenous residual,1000 km2,SRC_FAOSTAT_LAND,0,18.2729,,
ASM_LULC_SCALE_TO_NATIONAL,Raster class areas are scaled by the national-area denominator divided by valid classified raster area.,1.0423842498203642,dimensionless,SRC_FAOSTAT_LAND SRC_IO_LULC_2020 SRC_FIJI_ADM0,,,,
ASM_ZONE_WEIGHT_TRANSFER,The four inherited Fiji v2.5 zonal coefficients are collapsed to national coefficients using their full-precision land-envelope weights.,"[1.7554,8.7102,6.1404,1.6669]",1000 km2 weights,SRC_FIJI_V25_CASE SRC_NAMIBIA_LAND_PATTERN,,,,
ASM_CROP_POST2022_YIELD,Each crop group's 2022 yield multiplier is held constant from 2023 through 2050.,2022,last observed calibration year,SRC_FAOSTAT_CROPS,,,,
ASM_FUTURE_FINAL_ENERGY,Each observed road and petroleum final-energy route is held at its 2023 value from 2024 through 2050.,2023,anchor year,SRC_UNSD_ENERGY SRC_FIJI_LEDS,,,,
ASM_EQUAL_TIMESLICES,Annual road and petroleum final-energy observations use equal shares across the four inherited time slices.,0.25,share per timeslice,SRC_UNSD_ENERGY,0.25,0.25,,
ASM_THERMAL_NCV,Combined EFL IDO/HFO consumption uses the midpoint of 40.4 and 43.0 GJ/t.,41.7,GJ/tonne,SRC_EFL_ANNUAL SRC_FIJI_PHASE1F,40.4,43.0,,
ASM_THERMAL_HEAT_RATE_FREEZE,The 2020-2022 aggregate fleet heat rate is held through 2050.,2.4858165353507773,PJ fuel/PJ electricity,SRC_EFL_ANNUAL SRC_FIJI_PHASE1F,,,,
ASM_WATER_COEFFICIENT_LINEAGE,Water-production and use coefficients are inherited from Fiji v2.5 and are closed exactly in Fiji v2.6; no new external hydrology calibration is claimed.,inherit unchanged,model coefficient,SRC_FIJI_V25_CASE,,,,
ASM_SERVICE_GROWTH_RESIDENTIAL_COOKING,Future residential cooking demand grows annually at the Phase 1J central rate.,0.005,fraction/year,SRC_FIJI_PHASE1J,0.0,0.01,,
