assumption_id,statement,rationale,evidence_source_ids,lower_bound,central_value,upper_bound,unit,sensitivity_required,owner,review_status,notes
ASM_FSH_CAPTURE_FLAT,"2020 capture motive service is carried flat through 2050.","Avoids turning uncertain catch growth into a fishing expansion target; sustainability remains endogenous only through technology choice, not catch volume.",SRC_FSH_FIJI_MOF_AR2020_21,-0.01,0,0.01,annual growth rate,yes,MUIOGO Fiji model team,reviewed,"Full-horizon assumption, not a calibration window."
ASM_FSH_CAPTURE_EFF,"Existing diesel fleet and electric alternative convert final energy to motive service at 0.30 and 0.75 respectively.","Diesel matches the existing Fiji domestic-navigation service convention; electric value is an engineering prior.",SRC_FSH_FIJI_V26,0.20,"diesel=0.30; electric=0.75",0.85,output/input,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_CAPTURE_UTIL,"Observed capture service represents 70% utilization of effective base-year capacity.","Separates stock sizing from technical availability and permits residual stock to idle.",SRC_FSH_FIJI_MOF_AR2020_21,0.40,0.70,0.90,fraction,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_AQ_ENERGY,"Aquaculture operations use 0.5 kWh/kg harvest before conversion efficiency.","Fiji reports harvest and electrical upgrades but not facility energy; a deliberately wide engineering prior is required.",SRC_FSH_FIJI_MOF_AR2020_21,0.1,0.5,5.0,kWh/kg,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_AQ_GROWTH,"Aquaculture service grows 5% per year from the 2020 initial condition.","A neutral analytical trajectory distinct from the government 2029 production goals.",SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FIJI_SDP2019_29,0,0.05,0.10,annual growth rate,yes,MUIOGO Fiji model team,reviewed,"The 2029 policy targets remain benchmark-only."
ASM_FSH_AQ_EFF,"Diesel and electric aquaculture equipment convert final energy to operations service at 0.30 and 0.75.","Engineering prior consistent with motive equipment; no fuel share is constrained.",SRC_FSH_FIJI_V26,0.20,"diesel=0.30; electric=0.75",0.85,output/input,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_AQ_UTIL,"Observed electric aquaculture service represents 60% utilization of effective capacity.","Allows pumps and hatchery equipment to idle and separates utilization from availability.",SRC_FSH_FIJI_MOF_AR2020_21,0.30,0.60,0.90,fraction,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_POST_SHARE,"Half of reported offshore longline catch enters the modeled processing/cold-chain boundary.","No complete Fiji throughput split is published; coastal and subsistence catch are excluded from processing demand.",SRC_FSH_FIJI_MOF_AR2020_21,0.25,0.50,1.00,fraction,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_POST_MIX_EFF,"The base stock estimate allocates final energy 80% electricity and 20% diesel, with output/input efficiencies 0.75 and 0.80.","The FAO process account reports the carrier split; efficiencies translate it to a common useful-service output. The split sizes residual stock only and is not constrained in dispatch.",SRC_FSH_FAO_PROCESS,0.60,"electric share=0.80; diesel share=0.20; electric efficiency=0.75; diesel efficiency=0.80",0.95,fraction,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_POST_FLAT,"2020 post-harvest service is carried flat through 2050.","Keeps the new service sustainability-neutral and avoids an unsupported processing-growth target.",SRC_FSH_FIJI_MOF_AR2020_21,-0.01,0,0.01,annual growth rate,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_POST_UTIL,"Observed post-harvest service represents 70% utilization of effective capacity.","Separates effective stock from availability; both diesel and electric residual stocks may idle.",SRC_FSH_FIJI_MOF_AR2020_21,0.40,0.70,0.90,fraction,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_SOLAR_FREEZER,"Each of four reported solar freezers is represented by 0.2 kW electrical input and COP 2.0.","The official report provides count but not rating; the estimate is small and only sizes an idling residual stock.",SRC_FSH_FIJI_MOF_AR2020_21,"0.1 kW; COP 1.5","0.2 kW; COP 2.0","0.5 kW; COP 3.0",kW and coefficient of performance,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_LIVES,"Capture, diesel/electric post-harvest, aquaculture, and solar-freezer operating lives are 15, 15, 12, and 10 years.","Engineering stock-turnover priors; uniform-age retirement avoids assuming every observed asset is new in 2020.",SRC_FSH_FIJI_V26,8,"capture=15; post=15; aquaculture=12; solar=10",20,years,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_AVAILABILITY,"Technical availability is 0.90 for capture/aquaculture and 0.95 for post-harvest equipment.","Technical availability is distinct from the historical utilization used only to estimate residual stock.",SRC_FSH_FIJI_V26,0.75,"capture=0.90; aquaculture=0.90; post=0.95",1.0,fraction,yes,MUIOGO Fiji model team,reviewed,
ASM_FSH_CAPEX,"Installed useful-output capex is 1000/3000 capture diesel/electric, 1200/1500 aquaculture diesel/electric, 1200/900 post diesel/electric, and 4000 solar dollars per kW; fixed O&M is 5% diesel, 3% electric, and 2% solar of capex annually.","Screening economics are disclosed analyst estimates because Fiji-specific technology cost schedules were unavailable.",,450,"technology-specific central schedule",6000,USD/kW and fraction/year,yes,MUIOGO Fiji model team,reviewed,"Fuel and grid costs remain in existing carrier supply chains; variable O&M is zero to avoid duplication."
