boundary_record_id,flow,include_status,origin_statistical_sector,destination_model_service,baseline_value,unit,double_count_action,calculation_id,source_ids,notes
BND_FSH_OFFSHORE_CATCH,Offshore longline catch,included,Offshore fisheries,FSH capture motive service,12661,tonne/year,Convert to fuel/service only; do not constrain catch or technology activity,CALC_FSH_CAPTURE_OFF_FUEL,SRC_FSH_FIJI_MOF_AR2020_21,
BND_FSH_COAST_COMM,Coastal commercial catch,included,Coastal commercial fisheries,FSH capture motive service,11000,tonne/year,Convert to fuel/service only; subtract corresponding diesel service from aggregate agriculture boundary,CALC_FSH_CAPTURE_COAST_FUEL,SRC_FSH_FIJI_MOF_AR2020_21,
BND_FSH_COAST_SUBS,Coastal subsistence catch,excluded,Coastal subsistence fisheries,none,16000,tonne/year,Excluded because motorization and marketed-processing shares are unknown,,SRC_FSH_FIJI_MOF_AR2020_21,Retained as a validation benchmark/data gap.
BND_FSH_FRESHWATER,Freshwater catch,excluded,Freshwater fisheries,none,3700,tonne/year,Excluded because motorization and post-harvest energy shares are unknown,,SRC_FSH_FIJI_MOF_AR2020_21,Retained as a validation benchmark/data gap.
BND_FSH_CAPTURE_DSL,Detailed capture diesel,included,"Agriculture, forestry and fishing diesel",FSH capture motive service,0.11169422,PJ final energy,Subtract 0.027923555 PJ from SRVAGR all years and 0.11169422 from observed MOTAGRDSL activity in 2020-2023,CALC_FSH_CAPTURE_BOUNDARY,SRC_FSH_FIJI_V26;SRC_FSH_UNSD_DSD,Exact same-unit boundary correction.
BND_FSH_AQ_HARVEST,Aquaculture harvest,included,Aquaculture,FSH aquaculture operations service,4327.38,kg/year,Convert to useful service; do not force production,CALC_FSH_AQ_INPUT,SRC_FSH_FIJI_MOF_AR2020_21,
BND_FSH_AQ_ELEC,Aquaculture electricity,included,National direct grid electricity,FSH aquaculture operations service,0.000007789284,PJ final energy,Subtract year-specific aquaculture electricity trajectory from ELCFJIXX02 SAD,CALC_FSH_AQ_INPUT,SRC_FSH_FIJI_V26,Exact same-unit boundary correction.
BND_FSH_POST_THR,Post-harvest throughput,included,Offshore fisheries processing/ports,FSH post-harvest service,6330.5,tonne/year,Use 50% assumption; exclude coastal/subsistence throughput,CALC_FSH_POST_THROUGHPUT,SRC_FSH_FIJI_MOF_AR2020_21,
BND_FSH_POST_DSL,Processing diesel,included,Industry heat,FSH post-harvest service,0.00506389356,PJ final energy,Subtract 0.004051114848 PJ service from SRVINDHEAT and diesel input from 2020-2023 HTINDDSL pins,CALC_FSH_POST_DSL_BOUNDARY,SRC_FSH_FIJI_V26,Exact same-unit boundary correction.
BND_FSH_POST_ELEC,Processing electricity,included,Industry direct electricity,FSH post-harvest service,0.02025557424,PJ final energy,Subtract from INDELCFJIXX02 SAD all years,CALC_FSH_POST_ENERGY,SRC_FSH_FIJI_V26,Exact same-unit boundary correction.
BND_FSH_POST_WATER,Processing water,included,Public water,FSH post-harvest service,0.00006026636,km3/year,Subtract from PUBWATFJI SAD in 2020-2024; later baseline demand is zero,CALC_FSH_POST_WATER,SRC_FSH_FIJI_V26,Explicit new water use after 2024 fills a baseline data gap rather than reallocating a positive aggregate.
BND_FSH_ICE,Government ice production,benchmark_only,Government ice plants,FSH post-harvest service,1429.22084,tonne ice,Use only as a scale cross-check; avoid duplicate energy because FAO processing intensity includes refrigeration,,SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_ICE,
BND_FSH_POLICY_AQ,2029 tilapia and shrimp goals,benchmark_only,Policy target,none,2000,tonne/year,Do not encode as demand or lower bound,,SRC_FSH_FIJI_SDP2019_29,
