carrier,sector,producer,upstream_carrier,current_activity_2020_2024,candidate_service_boundary,evidence_status,phase_1c_disposition,activation_gate,double_counting_note
AGRDSL,Agriculture,DEMAGRDSL,DSL,0.0,Agricultural mechanical work,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Agricultural diesel use and useful-work efficiency by activity","Any added electricity or fuel use must be reconciled within the gross electricity or national fuel balance."
COMBIO,Commercial,DEMCOMBIO,BIO,0.0,Commercial low-temperature heat or cooking,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Commercial biomass energy by end use and conversion efficiency","Do not demand both COMBIO final energy and a useful-heat service supplied from COMBIO."
COMDSL,Commercial,DEMCOMDSL,DSL,0.0,Commercial stationary heat or backup power,Service role unresolved,RETAIN_PENDING_EVIDENCE,"Commercial diesel quantity and end-use allocation","Exclude any on-site generation already counted in grid-supply observations."
COMELCFJIXX02,Commercial,DEMCOMELCFJIXX02,ELCFJIXX02,0.0,Commercial final electricity use,2020-2024 quantity ready,GO_ELECTRICITY_ACCOUNTING_ONLY,"Implement the documented gross-grid decomposition and preserve the total grid requirement","Replace the matching share of direct ELCFJIXX02 demand; never add this demand on top of the gross grid requirement."
COMKER,Commercial,DEMCOMKER,KER,0.0,Commercial low-temperature heat or cooking,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Commercial kerosene energy by end use and conversion efficiency","Do not demand both final kerosene and useful heat."
COMLPG,Commercial,DEMCOMLPG,LPG,0.0,Commercial cooking or low-temperature heat,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Commercial LPG energy by end use and conversion efficiency","Do not infer commercial use from residential MICS shares."
COMNGS,Commercial,DEMCOMNGS,NGS,0.0,Commercial gas heat,No Fiji fossil-natural-gas pathway established,QUARANTINE_APPLICABILITY,"Fiji-specific gas supply and material end-use evidence","Biogas evidence must not be relabelled as fossil NGS."
INDBIO,Industry,DEMINDBIO,BIO,0.0,Industrial process heat,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Industrial biomass quantity plus process-temperature and efficiency evidence","Bagasse used in grid-supplying IPPs must not also be counted as industrial final energy."
INDCOA,Industry,DEMINDCOA,COA,0.0,Industrial process heat,No Fiji coal-use evidence retained,QUARANTINE_APPLICABILITY,"Material Fiji coal use and supply-chain evidence","Do not activate from an inherited global option alone."
INDDSL,Industry,DEMINDDSL,DSL,0.0,Industrial process heat or stationary work,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Industrial diesel quantity and end-use allocation","Separate stationary use from transport and power-generation fuel."
INDELCFJIXX02,Industry,DEMINDELCFJIXX02,ELCFJIXX02,0.0,Industrial final electricity use,2020-2024 quantity ready,GO_ELECTRICITY_ACCOUNTING_ONLY,"Implement the documented gross-grid decomposition and preserve the total grid requirement","Replace the matching share of direct ELCFJIXX02 demand; never add this demand on top of the gross grid requirement."
INDHFO,Industry,DEMINDHFO,HFO,0.0,Industrial high-temperature heat,No Fiji end-use quantity retained,RETAIN_PENDING_EVIDENCE,"Industrial HFO quantity separated from power and marine bunkers plus conversion efficiency","National HFO imports cannot be assigned wholly to industry."
INDKER,Industry,DEMINDKER,KER,0.0,Industrial process heat,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Industrial kerosene quantity and service role","Separate industrial use from aviation and household cooking."
INDLPG,Industry,DEMINDLPG,LPG,0.0,Industrial low-temperature heat,No Fiji quantity retained,RETAIN_PENDING_EVIDENCE,"Industrial LPG quantity and conversion efficiency","Do not infer industrial use from residential MICS shares."
INDNGS,Industry,DEMINDNGS,NGS,0.0,Industrial gas heat,No Fiji fossil-natural-gas pathway established,QUARANTINE_APPLICABILITY,"Fiji-specific gas supply and material end-use evidence","Biogas evidence must not be relabelled as fossil NGS."
RESBIO,Residential,DEMRESBIO,BIO,0.0,Residential cooking,2021 primary-reliance share ready; energy quantity absent,GO_SHARE_ONLY_NO_ACTIVE_DEMAND,"Annual residential cooking-service magnitude plus biomass stove efficiency","Household shares are not PJ and must not be applied directly to national fuel totals."
RESELCFJIXX02,Residential,DEMRESELCFJIXX02,ELCFJIXX02,0.0,Residential final electricity use and candidate cooking input,2020-2024 grid quantity ready; 2021 cooking share ready,GO_ELECTRICITY_ACCOUNTING_ONLY,"Implement grid-domestic use first; split cooking from appliances only with service magnitude and efficiency evidence","Subtract household own generation before routing grid electricity and replace the matching direct grid demand."
RESKER,Residential,DEMRESKER,KER,0.0,Residential cooking,2021 primary-reliance share ready; energy quantity absent,GO_SHARE_ONLY_NO_ACTIVE_DEMAND,"Annual residential cooking-service magnitude plus kerosene stove efficiency","A 28.0 percent population share is not 28.0 percent of cooking energy."
RESLPG,Residential,DEMRESLPG,LPG,0.0,Residential cooking,2021 primary-reliance share ready; energy quantity absent,GO_SHARE_ONLY_NO_ACTIVE_DEMAND,"Annual residential cooking-service magnitude plus LPG stove efficiency","A 46.0 percent population share is not 46.0 percent of cooking energy."
RESNGS,Residential,DEMRESNGS,NGS,0.0,Residential gas cooking,No Fiji fossil-natural-gas pathway established,QUARANTINE_APPLICABILITY,"Fiji-specific fossil gas supply and household-use evidence","MICS biogas stoves require a distinct biogas pathway; they do not validate RESNGS."
TRADSL,Transport,DEMTRADSL,DSL,0.0,Road passenger or freight mobility,No Fiji service quantity retained,RETAIN_PENDING_EVIDENCE,"Diesel by road mode plus passenger-km or tonne-km conversion factors","Separate road diesel from industrial use and power generation."
TRAELCFJIXX02,Transport,DEMTRAELCFJIXX02,ELCFJIXX02,0.0,Electric road mobility,No historical Fiji electricity quantity retained,RETAIN_FUTURE_OPTION,"EV stock or charging evidence and vehicle efficiency","Future charging must replace rather than supplement the corresponding residual grid demand."
TRAGSL,Transport,DEMTRAGSL,GSL,0.0,Road passenger or freight mobility,No Fiji service quantity retained,RETAIN_PENDING_EVIDENCE,"Gasoline by road mode plus passenger-km or tonne-km conversion factors","Fuel sales do not by themselves distinguish passenger and freight service."
TRAHFO,Transport,DEMTRAHFO,HFO,0.0,Domestic marine mobility,No Fiji service quantity retained,RETAIN_PENDING_EVIDENCE,"Domestic marine HFO separated from international bunkers and industrial use","Do not assign all HFO imports to domestic transport."
TRAKER,Transport,DEMTRAKER,KER,0.0,Domestic aviation mobility,No Fiji service quantity retained,RETAIN_PENDING_EVIDENCE,"Domestic aviation kerosene separated from international bunkers and household use","Do not assign all kerosene imports to domestic aviation."
TRANGS,Transport,DEMTRANGS,NGS,0.0,Gas-fuelled road mobility,No Fiji fossil-natural-gas pathway established,QUARANTINE_APPLICABILITY,"Fiji-specific gas supply and vehicle-stock evidence","Do not activate from an inherited global option alone."
