parameter_record_id,model_file,parameter,entity,secondary_entity,mode,scenario,year_start,year_end,value_expression,model_unit,evidence_type,source_ids,calculation_id,assumption_ids,uncertainty,confidence,notes
PAR_FSH_CAP_DEMAND,RYC.json,SAD,COM_fsh_cap,,,SC_0,2020,2050,0.033508266 flat,PJ useful service,derived,,CALC_FSH_CAPTURE_SERVICE,ASM_FSH_CAPTURE_FLAT,high,medium,"Final demand; production observations are not activity bounds."
PAR_FSH_AQ_DEMAND,RYC.json,SAD,COM_fsh_aq,,,SC_0,2020,2050,0.000005841963 * 1.05^(year-2020),PJ useful service,derived,,CALC_FSH_AQ_SERVICE,ASM_FSH_AQ_GROWTH,high,low,"Analytical central trajectory; the 2029 plan remains benchmark-only."
PAR_FSH_POST_DEMAND,RYC.json,SAD,COM_fsh_post,,,SC_0,2020,2050,0.019242795528 flat,PJ useful service,derived,,CALC_FSH_POST_SERVICE,ASM_FSH_POST_FLAT,high,medium,Combined cold-chain and processing service.
PAR_FSH_CAP_DSL_IAR,RYTCM.json,IAR,TEC_fsh_cap_dsl,COM_eev5t,1,SC_0,2020,2050,1/0.30,PJ diesel/PJ service,estimated,,CALC_FSH_CAPTURE_SERVICE,ASM_FSH_CAPTURE_EFF,high,medium,
PAR_FSH_CAP_ELE_IAR,RYTCM.json,IAR,TEC_fsh_cap_ele,COM_3drm3,1,SC_0,2020,2050,1/0.75,PJ electricity/PJ service,estimated,,CALC_FSH_CAPTURE_SERVICE,ASM_FSH_CAPTURE_EFF,high,low,
PAR_FSH_AQ_DSL_IAR,RYTCM.json,IAR,TEC_fsh_aq_dsl,COM_eev5t,1,SC_0,2020,2050,1/0.30,PJ diesel/PJ service,estimated,,CALC_FSH_AQ_SERVICE,ASM_FSH_AQ_EFF,high,low,
PAR_FSH_AQ_ELE_IAR,RYTCM.json,IAR,TEC_fsh_aq_ele,COM_3drm3,1,SC_0,2020,2050,1/0.75,PJ electricity/PJ service,estimated,,CALC_FSH_AQ_SERVICE,ASM_FSH_AQ_EFF,high,medium,
PAR_FSH_POST_DSL_IAR,RYTCM.json,IAR,TEC_fsh_post_dsl,COM_eev5t,1,SC_0,2020,2050,1/0.80,PJ diesel/PJ service,estimated,,CALC_FSH_POST_SERVICE,ASM_FSH_POST_MIX_EFF,high,medium,
PAR_FSH_POST_ELE_IAR,RYTCM.json,IAR,TEC_fsh_post_ele,COM_3drm3,1,SC_0,2020,2050,1/0.75,PJ electricity/PJ service,estimated,,CALC_FSH_POST_SERVICE,ASM_FSH_POST_MIX_EFF,high,medium,
PAR_FSH_POST_WATER_DSL,RYTCM.json,IAR,TEC_fsh_post_dsl,COM_mmv3k,1,SC_0,2020,2050,0.0031318921365820793,km3/PJ service,derived,,CALC_FSH_POST_WATER_IAR,,medium,medium,
